"","CountryName","CountryCode","Year","EN.ATM.CO2E.PC","EN.ATM.GHGO.KT.CE","EN.ATM.METH.KT.CE"
"118","Ecuador","ECU",2011,2.354017,NA,NA
"119","Egypt, Arab Rep.","EGY",2010,2.494817,3887,50969.1
"120","Egypt, Arab Rep.","EGY",2011,2.635115,NA,NA
"121","El Salvador","SLV",2010,1.044538,116,2992.2
"122","El Salvador","SLV",2011,1.103999,NA,NA
"123","Equatorial Guinea","GNQ",2010,6.421062,NA,NA
"124","Equatorial Guinea","GNQ",2011,8.907242,NA,NA
"125","Eritrea","ERI",2010,0.1094705,0,2837
"126","Eritrea","ERI",2011,0.1087184,NA,NA
"127","Estonia","EST",2010,13.7732,63,2329.3
"128","Estonia","EST",2011,14.04988,NA,NA
"129","Ethiopia","ETH",2010,0.07559157,16,63231.9
"130","Ethiopia","ETH",2011,0.08394312,NA,NA
"131","Euro area","EMU",2010,7.420268,96269,317044
"132","Euro area","EMU",2011,7.132483,NA,NA
"133","Europe & Central Asia (all income levels)","ECS",2010,7.61168,206167,1436253
"134","Europe & Central Asia (all income levels)","ECS",2011,7.541334,NA,NA
"135","Europe & Central Asia (developing only)","ECA",2010,5.229407,21887,393788.7
"136","Europe & Central Asia (developing only)","ECA",2011,5.412707,NA,NA
"137","European Union","EUU",2010,7.353037,124256,524786.6
"138","European Union","EUU",2011,7.069798,NA,NA
"139","Faeroe Islands","FRO",2010,12.98668,NA,NA
"140","Faeroe Islands","FRO",2011,11.72121,NA,NA
"141","Fiji","FJI",2010,1.50526,NA,NA
"142","Fiji","FJI",2011,1.424813,NA,NA
"143","Finland","FIN",2010,11.53084,1288,8895.5
"144","Finland","FIN",2011,10.16405,NA,NA
"145","Fragile and conflict affected situations","FCS",2010,0.8801631,NA,352069.5
"146","Fragile and conflict affected situations","FCS",2011,0.8586288,NA,NA
"147","France","FRA",2010,5.496707,20733,83753.2
"148","France","FRA",2011,5.185043,NA,NA
"149","French Polynesia","PYF",2010,3.296764,NA,NA
"150","French Polynesia","PYF",2011,3.167953,NA,NA
"151","Gabon","GAB",2010,1.455446,14,3817.5
"152","Gabon","GAB",2011,1.418166,NA,NA
"153","Gambia, The","GMB",2010,0.2794108,NA,NA
"154","Gambia, The","GMB",2011,0.2410984,NA,NA
"155","Georgia","GEO",2010,1.466701,20,4863.5
"156","Georgia","GEO",2011,1.769151,NA,NA
"157","Germany","DEU",2010,9.179817,26004,57229.7
"158","Germany","DEU",2011,8.917833,NA,NA
"159","Ghana","GHA",2010,0.4154411,13,20664.5
"160","Ghana","GHA",2011,0.4043798,NA,NA
"161","Greece","GRC",2010,7.77492,1407,8417
"162","Greece","GRC",2011,7.556058,NA,NA
"163","Greenland","GRL",2010,11.66377,NA,NA
"164","Greenland","GRL",2011,12.44034,NA,NA
"165","Grenada","GRD",2010,2.487242,NA,NA
"166","Grenada","GRD",2011,2.408137,NA,NA
"167","Guatemala","GTM",2010,0.7716195,797,6745.7
"168","Guatemala","GTM",2011,0.7480551,NA,NA
"169","Guinea","GIN",2010,0.2257659,NA,NA
"170","Guinea","GIN",2011,0.2294234,NA,NA
"171","Guinea-Bissau","GNB",2010,0.1458546,NA,NA
"172","Guinea-Bissau","GNB",2011,0.1468107,NA,NA
"173","Guyana","GUY",2010,2.282864,NA,NA
"174","Guyana","GUY",2011,2.357722,NA,NA
"175","Haiti","HTI",2010,0.2119607,0,4497.3
"176","Haiti","HTI",2011,0.217962,NA,NA
"177","Heavily indebted poor countries (HIPC)","HPC",2010,0.2214673,NA,401169.9
"178","Heavily indebted poor countries (HIPC)","HPC",2011,0.2301933,NA,NA
"179","High income","HIC",2010,11.22817,678615,2270921
"180","High income","HIC",2011,11.07028,NA,NA
"181","High income: nonOECD","NOC",2010,11.4543,NA,902472.6
"182","High income: nonOECD","NOC",2011,11.66039,NA,NA
"183","High income: OECD","OEC",2010,11.24348,597462,1368448
"184","High income: OECD","OEC",2011,10.97784,NA,NA
"185","Honduras","HND",2010,1.080473,0,5729.7
"186","Honduras","HND",2011,1.103745,NA,NA
"187","Hong Kong SAR, China","HKG",2010,5.16623,150,3085.6
"188","Hong Kong SAR, China","HKG",2011,5.695269,NA,NA
"189","Hungary","HUN",2010,5.07475,1778,7282.7
"190","Hungary","HUN",2011,4.86299,NA,NA
"191","Iceland","ISL",2010,6.168529,207,383.3
"192","Iceland","ISL",2011,5.896829,NA,NA
"193","India","IND",2010,1.58487,20937,621479.7
"194","India","IND",2011,1.662873,NA,NA
"195","Indonesia","IDN",2010,1.808601,1241,218929.1
"196","Indonesia","IDN",2011,2.303781,NA,NA
"197","Iran, Islamic Rep.","IRN",2010,7.698029,3097,115333.9
"198","Iran, Islamic Rep.","IRN",2011,7.802145,NA,NA
"199","Iraq","IRQ",2010,3.610435,112,23873.8
"200","Iraq","IRQ",2011,4.201635,NA,NA
"201","Ireland","IRL",2010,8.810151,1291,13895.5
"202","Ireland","IRL",2011,7.880759,NA,NA
"203","Israel","ISR",2010,9.036666,2777,3350.1
"204","Israel","ISR",2011,8.952414,NA,NA
"205","Italy","ITA",2010,6.838375,15541,37547.9
"206","Italy","ITA",2011,6.702558,NA,NA
"207","Jamaica","JAM",2010,2.672411,84,1290.6
"208","Jamaica","JAM",2011,2.872656,NA,NA
"209","Japan","JPN",2010,9.127185,70793,40261.8
"210","Japan","JPN",2011,9.291834,NA,NA
"211","Jordan","JOR",2010,3.50324,193,2072.1
"212","Jordan","JOR",2011,3.601147,NA,NA
"213","Kazakhstan","KAZ",2010,15.14648,584,67542.2
"214","Kazakhstan","KAZ",2011,15.8101,NA,NA
"215","Kenya","KEN",2010,0.3079754,0,27477.3
"216","Kenya","KEN",2011,0.3275692,NA,NA
"217","Kiribati","KIR",2010,0.6073085,NA,NA
"218","Kiribati","KIR",2011,0.5956221,NA,NA
"219","Korea, Dem. Rep.","PRK",2010,2.958834,4236,18611.3
"220","Korea, Dem. Rep.","PRK",2011,2.987182,NA,NA
"221","Korea, Rep.","KOR",2010,11.46959,10905,31983.7
"222","Korea, Rep.","KOR",2011,11.84076,NA,NA
"223","Kosovo","KSV",2010,NA,0,0
"224","Kuwait","KWT",2010,29.69343,1451,12441.7
"225","Kuwait","KWT",2011,28.10266,NA,NA
"226","Kyrgyz Republic","KGZ",2010,1.129468,42,3968.4
"227","Kyrgyz Republic","KGZ",2011,1.199592,NA,NA
"228","Lao PDR","LAO",2010,0.203249,NA,NA
"229","Lao PDR","LAO",2011,0.1889105,NA,NA
"230","Latin America & Caribbean (all income levels)","LCN",2010,2.896043,25205,942764.2
"231","Latin America & Caribbean (all income levels)","LCN",2011,2.933329,NA,NA
"232","Latin America & Caribbean (developing only)","LAC",2010,2.346971,21724,747292.6
"233","Latin America & Caribbean (developing only)","LAC",2011,2.384176,NA,NA
"234","Latvia","LVA",2010,3.963228,1350,3227.4
"235","Latvia","LVA",2011,3.786801,NA,NA
"236","Least developed countries: UN classification","LDC",2010,0.2639753,NA,572815.2
"237","Least developed countries: UN classification","LDC",2011,0.2687073,NA,NA
"238","Lebanon","LBN",2010,4.632412,0,1127.4
"239","Lebanon","LBN",2011,4.668313,NA,NA
"240","Lesotho","LSO",2010,1.123489,NA,NA
"241","Lesotho","LSO",2011,1.08227,NA,NA
"242","Liberia","LBR",2010,0.2028992,NA,NA
"243","Liberia","LBR",2011,0.218425,NA,NA
"244","Libya","LBY",2010,10.5427,366,18132.2
"245","Libya","LBY",2011,6.204914,NA,NA
"246","Liechtenstein","LIE",2010,1.617378,NA,NA
"247","Liechtenstein","LIE",2011,1.405096,NA,NA
"248","Lithuania","LTU",2010,4.319018,1301,5052.2
"249","Lithuania","LTU",2011,4.537559,NA,NA
"250","Low & middle income","LMY",2010,2.928909,336828,5244230
"251","Low & middle income","LMY",2011,3.103174,NA,NA
"252","Low income","LIC",2010,0.261154,NA,279480.9
"253","Low income","LIC",2011,0.2709645,NA,NA
"254","Lower middle income","LMC",2010,1.426754,32843,1909375
"255","Lower middle income","LMC",2011,1.508993,NA,NA
"256","Luxembourg","LUX",2010,21.63514,146,1235.7
"257","Luxembourg","LUX",2011,20.89781,NA,NA
"258","Macao SAR, China","MAC",2010,2.242893,NA,NA
"259","Macao SAR, China","MAC",2011,2.133061,NA,NA
"260","Macedonia, FYR","MKD",2010,4.171161,185,1369.3
"261","Macedonia, FYR","MKD",2011,4.51921,NA,NA
"262","Madagascar","MDG",2010,0.09898336,NA,NA
"263","Madagascar","MDG",2011,0.1129928,NA,NA
"264","Malawi","MWI",2010,0.08217952,NA,NA
"265","Malawi","MWI",2011,0.07923148,NA,NA
"266","Malaysia","MYS",2010,7.986951,1195,33598.8
"267","Malaysia","MYS",2011,7.898824,NA,NA
"268","Maldives","MDV",2010,2.927605,NA,NA
"269","Maldives","MDV",2011,2.927764,NA,NA
"270","Mali","MLI",2010,0.08147661,NA,NA
"271","Mali","MLI",2011,0.07995638,NA,NA
"272","Malta","MLT",2010,6.316496,173,235.4
"273","Malta","MLT",2011,6.034322,NA,NA
"274","Marshall Islands","MHL",2010,1.958419,NA,NA
"275","Marshall Islands","MHL",2011,1.954207,NA,NA
"276","Mauritania","MRT",2010,0.5952723,NA,NA
"277","Mauritania","MRT",2011,0.6272255,NA,NA
"278","Mauritius","MUS",2010,3.132083,NA,NA
"279","Mauritius","MUS",2011,3.127071,NA,NA
"280","Mexico","MEX",2010,3.752091,9033,115858
"281","Mexico","MEX",2011,3.876108,NA,NA
"282","Micronesia, Fed. Sts.","FSM",2010,1.167846,NA,NA
"283","Micronesia, Fed. Sts.","FSM",2011,1.240336,NA,NA
"284","Middle East & North Africa (all income levels)","MEA",2010,5.987226,17734,461854.7
"285","Middle East & North Africa (all income levels)","MEA",2011,5.962865,NA,NA
"286","Middle East & North Africa (developing only)","MNA",2010,3.882503,8356,299742
"287","Middle East & North Africa (developing only)","MNA",2011,3.878219,NA,NA
"288","Middle income","MIC",2010,3.226962,332238,4964749
"289","Middle income","MIC",2011,3.424408,NA,NA
"290","Moldova","MDA",2010,1.38566,14,3415
"291","Moldova","MDA",2011,1.398822,NA,NA
"292","Mongolia","MNG",2010,4.243335,0,6134.4
"293","Mongolia","MNG",2011,6.915147,NA,NA
"294","Montenegro","MNE",2010,4.167664,0,0
"295","Montenegro","MNE",2011,4.145548,NA,NA
"296","Morocco","MAR",2010,1.742833,0,11777.6
"297","Morocco","MAR",2011,1.737916,NA,NA
"298","Mozambique","MOZ",2010,0.1182054,338,9772.4
"299","Mozambique","MOZ",2011,0.1311898,NA,NA
"300","Myanmar","MMR",2010,0.1737347,0,79130.7
"301","Myanmar","MMR",2011,0.2002852,NA,NA
"302","Namibia","NAM",2010,1.449319,0,4988.2
"303","Namibia","NAM",2011,1.23916,NA,NA
"304","Nepal","NPL",2010,0.1611379,0,23512.1
"305","Nepal","NPL",2011,0.1594745,NA,NA
"306","Netherlands","NLD",2010,10.94932,5074,20268.9
"307","Netherlands","NLD",2011,10.06449,NA,NA
"308","New Caledonia","NCL",2010,15.68009,NA,NA
"309","New Caledonia","NCL",2011,15.1733,NA,NA
"310","New Zealand","NZL",2010,7.29742,1475,28133
"311","New Zealand","NZL",2011,7.124051,NA,NA
"312","Nicaragua","NIC",2010,0.8059099,0,6361.4
"313","Nicaragua","NIC",2011,0.843542,NA,NA
"314","Niger","NER",2010,0.08305449,NA,NA
"315","Niger","NER",2011,0.08395818,NA,NA
"316","Nigeria","NGA",2010,0.5345537,1023,88021.4
"317","Nigeria","NGA",2011,0.5374976,NA,NA
"318","North America","NAC",2010,17.19613,378296,629187.9
"319","North America","NAC",2011,16.73199,NA,NA
"320","Norway","NOR",2010,11.61619,1823,17148
"321","Norway","NOR",2011,9.192879,NA,NA
"322","OECD members","OED",2010,10.1129,613711,1561613
"323","OECD members","OED",2011,9.907168,NA,NA
"324","Oman","OMN",2010,19.12261,361,16527.2
"325","Oman","OMN",2011,20.20389,NA,NA
"326","Other small states","OSS",2010,1.515355,NA,13166.7
"327","Other small states","OSS",2011,1.548097,NA,NA
"328","Pacific island small states","PSS",2010,1.113847,NA,NA
"329","Pacific island small states","PSS",2011,1.098,NA,NA
"330","Pakistan","PAK",2010,0.9573574,1036,155236.3
"331","Pakistan","PAK",2011,0.9411711,NA,NA
"332","Palau","PLW",2010,10.56927,NA,NA
"333","Palau","PLW",2011,10.85543,NA,NA
"334","Panama","PAN",2010,2.449052,0,3311.6
"335","Panama","PAN",2011,2.625276,NA,NA
"336","Papua New Guinea","PNG",2010,0.6811847,NA,NA
"337","Papua New Guinea","PNG",2011,0.7468952,NA,NA
"338","Paraguay","PRY",2010,0.8172671,0,15930.7
"339","Paraguay","PRY",2011,0.8419152,NA,NA
"340","Peru","PER",2010,1.969722,539,18942.9
"341","Peru","PER",2011,1.783233,NA,NA
"342","Philippines","PHL",2010,0.8781355,459,56049.4
"343","Philippines","PHL",2011,0.8678453,NA,NA
"344","Poland","POL",2010,8.334872,2582,65452.5
"345","Poland","POL",2011,8.335787,NA,NA
"346","Portugal","PRT",2010,4.690095,1248,12600.5
"347","Portugal","PRT",2011,4.70985,NA,NA
"348","Qatar","QAT",2010,42.63908,0,40328.2
"349","Qatar","QAT",2011,44.01893,NA,NA
"350","Romania","ROM",2010,3.91841,975,26146
"351","Romania","ROM",2011,4.21056,NA,NA
"352","Russian Federation","RUS",2010,12.19844,57079,533546
"353","Russian Federation","RUS",2011,12.64733,NA,NA
"354","Rwanda","RWA",2010,0.05735438,NA,NA
"355","Rwanda","RWA",2011,0.0628742,NA,NA
"356","Samoa","WSM",2010,1.103871,NA,NA
"357","Samoa","WSM",2011,1.25211,NA,NA
"358","Sao Tome and Principe","STP",2010,0.5794066,NA,NA
"359","Sao Tome and Principe","STP",2011,0.5879093,NA,NA
"360","Saudi Arabia","SAU",2010,18.97763,2874,60310.2
"361","Saudi Arabia","SAU",2011,18.07245,NA,NA
"362","Senegal","SEN",2010,0.6384877,0,9732.9
"363","Senegal","SEN",2011,0.5883341,NA,NA
"364","Serbia","SRB",2010,6.292017,7338,6589
"365","Serbia","SRB",2011,6.799115,NA,NA
"366","Seychelles","SYC",2010,7.679581,NA,NA
"367","Seychelles","SYC",2011,6.835706,NA,NA
"368","Sierra Leone","SLE",2010,0.1257061,NA,NA
"369","Sierra Leone","SLE",2011,0.1520442,NA,NA
"370","Singapore","SGP",2010,2.655247,3296,2339.1
"371","Singapore","SGP",2011,4.320151,NA,NA
"372","Slovak Republic","SVK",2010,6.72196,1576,3984.7
"373","Slovak Republic","SVK",2011,6.367546,NA,NA
"374","Slovenia","SVN",2010,7.530605,601,2901.7
"375","Slovenia","SVN",2011,7.50426,NA,NA
"376","Small states","SST",2010,3.533691,NA,28956.4
"377","Small states","SST",2011,3.459791,NA,NA
"378","Solomon Islands","SLB",2010,0.3763334,NA,NA
"379","Solomon Islands","SLB",2011,0.3683042,NA,NA
"380","Somalia","SOM",2010,0.06391226,NA,NA
"381","Somalia","SOM",2011,0.05870688,NA,NA
"382","South Africa","ZAF",2010,8.957154,3210,65311.3
"383","South Africa","ZAF",2011,9.257216,NA,NA
"384","South Asia","SAS",2010,1.348893,21973,914938.7
"385","South Asia","SAS",2011,1.408997,NA,NA
"386","Spain","ESP",2010,5.815787,12139,36824.1
"387","Spain","ESP",2011,5.790764,NA,NA
"388","Sri Lanka","LKA",2010,0.6482456,0,11630.9
"389","Sri Lanka","LKA",2011,0.7299208,NA,NA
"390","St. Kitts and Nevis","KNA",2010,4.973201,NA,NA
"391","St. Kitts and Nevis","KNA",2011,5.050964,NA,NA
"392","St. Lucia","LCA",2010,2.273827,NA,NA
"393","St. Lucia","LCA",2011,2.270424,NA,NA
"394","St. Vincent and the Grenadines","VCT",2010,2.146877,NA,NA
"395","St. Vincent and the Grenadines","VCT",2011,2.179923,NA,NA
"396","Sub-Saharan Africa (all income levels)","SSF",2010,0.8167278,NA,582797.6
"397","Sub-Saharan Africa (all income levels)","SSF",2011,0.8309411,NA,NA
"398","Sub-Saharan Africa (developing only)","SSA",2010,0.8113439,NA,582797.6
"399","Sub-Saharan Africa (developing only)","SSA",2011,0.8235961,NA,NA
"400","Sudan","SDN",2010,0.3417508,0,94638.7
"401","Sudan","SDN",2011,0.3495487,NA,NA
"402","Suriname","SUR",2010,4.621427,NA,NA
"403","Suriname","SUR",2011,3.649913,NA,NA
"404","Swaziland","SWZ",2010,0.8697672,NA,NA
"405","Swaziland","SWZ",2011,0.8649883,NA,NA
"406","Sweden","SWE",2010,5.606,2198,10844.8
"407","Sweden","SWE",2011,5.518421,NA,NA
"408","Switzerland","CHE",2010,4.952499,2729,4992.4
"409","Switzerland","CHE",2011,4.62523,NA,NA
"410","Syrian Arab Republic","SYR",2010,2.971741,0,12532.1
"411","Syrian Arab Republic","SYR",2011,2.736991,NA,NA
"412","Tajikistan","TJK",2010,0.3738729,361,4942.8
"413","Tajikistan","TJK",2011,0.3589476,NA,NA
"414","Tanzania","TZA",2010,0.1500586,0,27445.1
"415","Tanzania","TZA",2011,0.1549349,NA,NA
"416","Thailand","THA",2010,4.470426,1388,104410.5
"417","Thailand","THA",2011,4.534492,NA,NA
"418","Timor-Leste","TMP",2010,0.1719322,NA,NA
"419","Timor-Leste","TMP",2011,0.1636481,NA,NA
"420","Togo","TGO",2010,0.269107,0,5237.9
"421","Togo","TGO",2011,0.3194436,NA,NA
"422","Tonga","TON",2010,1.128883,NA,NA
"423","Tonga","TON",2011,0.983562,NA,NA
"424","Trinidad and Tobago","TTO",2010,38.33784,0,14499.1
"425","Trinidad and Tobago","TTO",2011,37.14005,NA,NA
"426","Tunisia","TUN",2010,2.535619,0,7497.3
"427","Tunisia","TUN",2011,2.402456,NA,NA
"428","Turkey","TUR",2010,4.121155,7216,77306.9
"429","Turkey","TUR",2011,4.383105,NA,NA
"430","Turkmenistan","TKM",2010,11.35811,139,26545.9
"431","Turkmenistan","TKM",2011,12.18367,NA,NA
"432","Turks and Caicos Islands","TCA",2010,6.152486,NA,NA
"433","Turks and Caicos Islands","TCA",2011,6.010149,NA,NA
"434","Uganda","UGA",2010,0.1082973,NA,NA
"435","Uganda","UGA",2011,0.1108866,NA,NA
"436","Ukraine","UKR",2010,6.638152,989,68397.6
"437","Ukraine","UKR",2011,6.262352,NA,NA
"438","United Arab Emirates","ARE",2010,20.12096,1422,25607.6
"439","United Arab Emirates","ARE",2011,20.43384,NA,NA
"440","United Kingdom","GBR",2010,7.841653,14291,61173.7
"441","United Kingdom","GBR",2011,7.085732,NA,NA
"442","United States","USA",2010,17.48479,348460,524688.1
"443","United States","USA",2011,17.02022,NA,NA
"444","Upper middle income","UMC",2010,5.359187,299395,3055374
"445","Upper middle income","UMC",2011,5.710564,NA,NA
"446","Uruguay","URY",2010,1.912605,81,19165.2
"447","Uruguay","URY",2011,2.296201,NA,NA
"448","Uzbekistan","UZB",2010,3.693268,981,46862.1
"449","Uzbekistan","UZB",2011,3.914921,NA,NA
"450","Vanuatu","VUT",2010,0.4965912,NA,NA
"451","Vanuatu","VUT",2011,0.5912658,NA,NA
"452","Venezuela, RB","VEN",2010,6.811756,2308,57072.3
"453","Venezuela, RB","VEN",2011,6.416334,NA,NA
"454","Vietnam","VNM",2010,1.761695,0,111337.5
"455","Vietnam","VNM",2011,1.971889,NA,NA
"456","West Bank and Gaza","WBG",2010,0.5340148,NA,NA
"457","West Bank and Gaza","WBG",2011,0.5724069,NA,NA
"458","World","WLD",2010,4.840412,1015443,7515150
"459","World","WLD",2011,4.944649,NA,NA
"460","Yemen, Rep.","YEM",2010,1.09006,0,8764.7
"461","Yemen, Rep.","YEM",2011,0.9199676,NA,NA
"462","Zambia","ZMB",2010,0.1920787,1,6422.9
"463","Zambia","ZMB",2011,0.2124496,NA,NA
"464","Zimbabwe","ZWE",2010,0.6460727,0,8420.5
"465","Zimbabwe","ZWE",2011,0.6916979,NA,NA
