"","CountryName","CountryCode","Year","AG.LND.FRST.ZS","EN.FSH.THRD.NO","EN.HPT.THRD.NO","EN.MAM.THRD.NO"
"73","Bahamas, The","BHS",2012,51.44855,NA,NA,NA
"74","Bahamas, The","BHS",2013,51.44855,NA,NA,NA
"75","Bahamas, The","BHS",2015,NA,44,8,6
"76","Bahrain","BHR",2010,0.6955381,NA,NA,NA
"77","Bahrain","BHR",2011,0.7040417,NA,NA,NA
"78","Bahrain","BHR",2012,0.7272727,NA,NA,NA
"79","Bahrain","BHR",2013,0.7402597,NA,NA,NA
"80","Bahrain","BHR",2015,NA,9,0,3
"81","Bangladesh","BGD",2010,11.07782,NA,NA,NA
"82","Bangladesh","BGD",2011,11.05785,NA,NA,NA
"83","Bangladesh","BGD",2012,11.03787,NA,NA,NA
"84","Bangladesh","BGD",2013,11.0179,NA,NA,NA
"85","Bangladesh","BGD",2015,NA,21,21,33
"86","Barbados","BRB",2010,14.65116,NA,NA,NA
"87","Barbados","BRB",2011,14.65116,NA,NA,NA
"88","Barbados","BRB",2012,14.65116,NA,NA,NA
"89","Barbados","BRB",2013,14.65116,NA,NA,NA
"90","Barbados","BRB",2015,NA,29,3,3
"91","Belarus","BLR",2010,42.06013,NA,NA,NA
"92","Belarus","BLR",2011,42.15613,NA,NA,NA
"93","Belarus","BLR",2012,42.2542,NA,NA,NA
"94","Belarus","BLR",2013,42.35227,NA,NA,NA
"95","Belarus","BLR",2015,NA,2,1,3
"96","Belgium","BEL",2010,22.4967,NA,NA,NA
"97","Belgium","BEL",2011,22.51123,NA,NA,NA
"98","Belgium","BEL",2012,22.52576,NA,NA,NA
"99","Belgium","BEL",2013,22.54029,NA,NA,NA
"100","Belgium","BEL",2015,NA,13,1,2
"101","Belize","BLZ",2010,60.99912,NA,NA,NA
"102","Belize","BLZ",2011,60.77904,NA,NA,NA
"103","Belize","BLZ",2012,60.55897,NA,NA,NA
"104","Belize","BLZ",2013,60.33932,NA,NA,NA
"105","Belize","BLZ",2015,NA,43,36,9
"106","Benin","BEN",2010,40.44874,NA,NA,NA
"107","Benin","BEN",2011,40.00532,NA,NA,NA
"108","Benin","BEN",2012,39.5619,NA,NA,NA
"109","Benin","BEN",2013,39.11848,NA,NA,NA
"110","Benin","BEN",2015,NA,38,17,12
"111","Bermuda","BMU",2010,20,NA,NA,NA
"112","Bermuda","BMU",2011,20,NA,NA,NA
"113","Bermuda","BMU",2012,20,NA,NA,NA
"114","Bermuda","BMU",2013,20,NA,NA,NA
"115","Bermuda","BMU",2015,NA,24,8,4
"116","Bhutan","BTN",2010,70.97332,NA,NA,NA
"117","Bhutan","BTN",2011,71.23383,NA,NA,NA
"118","Bhutan","BTN",2012,71.49435,NA,NA,NA
"119","Bhutan","BTN",2013,71.75486,NA,NA,NA
"120","Bhutan","BTN",2015,NA,3,18,26
"121","Bolivia","BOL",2010,51.88683,NA,NA,NA
"122","Bolivia","BOL",2011,51.62005,NA,NA,NA
"123","Bolivia","BOL",2012,51.35327,NA,NA,NA
"124","Bolivia","BOL",2013,51.08649,NA,NA,NA
"125","Bolivia","BOL",2015,NA,0,99,21
"126","Bosnia and Herzegovina","BIH",2010,42.67578,NA,NA,NA
"127","Bosnia and Herzegovina","BIH",2011,42.67578,NA,NA,NA
"128","Bosnia and Herzegovina","BIH",2012,42.67578,NA,NA,NA
"129","Bosnia and Herzegovina","BIH",2013,42.67578,NA,NA,NA
"130","Bosnia and Herzegovina","BIH",2015,NA,35,1,4
"131","Botswana","BWA",2010,20.02894,NA,NA,NA
"132","Botswana","BWA",2011,19.84861,NA,NA,NA
"133","Botswana","BWA",2012,19.66827,NA,NA,NA
"134","Botswana","BWA",2013,19.48794,NA,NA,NA
"135","Botswana","BWA",2015,NA,2,2,8
"136","Brazil","BRA",2010,59.63743,NA,NA,NA
"137","Brazil","BRA",2011,59.5197,NA,NA,NA
"138","Brazil","BRA",2012,59.40197,NA,NA,NA
"139","Brazil","BRA",2013,59.28424,NA,NA,NA
"140","Brazil","BRA",2015,NA,85,516,82
"141","Brunei Darussalam","BRN",2010,72.10626,NA,NA,NA
"142","Brunei Darussalam","BRN",2011,72.10626,NA,NA,NA
"143","Brunei Darussalam","BRN",2012,72.10626,NA,NA,NA
"144","Brunei Darussalam","BRN",2013,72.10626,NA,NA,NA
"145","Brunei Darussalam","BRN",2015,NA,8,104,34
"146","Bulgaria","BGR",2010,34.42336,NA,NA,NA
"147","Bulgaria","BGR",2011,34.5818,NA,NA,NA
"148","Bulgaria","BGR",2012,34.74024,NA,NA,NA
"149","Bulgaria","BGR",2013,34.89867,NA,NA,NA
"150","Bulgaria","BGR",2015,NA,22,6,7
"151","Burkina Faso","BFA",2010,20.64693,NA,NA,NA
"152","Burkina Faso","BFA",2011,20.42836,NA,NA,NA
"153","Burkina Faso","BFA",2012,20.2098,NA,NA,NA
"154","Burkina Faso","BFA",2013,19.99123,NA,NA,NA
"155","Burkina Faso","BFA",2015,NA,4,3,9
"156","Burundi","BDI",2010,9.852025,NA,NA,NA
"157","Burundi","BDI",2011,10.03115,NA,NA,NA
"158","Burundi","BDI",2012,10.21028,NA,NA,NA
"159","Burundi","BDI",2013,10.38941,NA,NA,NA
"160","Burundi","BDI",2015,NA,17,8,12
"161","Cabo Verde","CPV",2010,21.11414,NA,NA,NA
"162","Cabo Verde","CPV",2011,21.35236,NA,NA,NA
"163","Cabo Verde","CPV",2012,21.59305,NA,NA,NA
"164","Cabo Verde","CPV",2013,21.83127,NA,NA,NA
"165","Cabo Verde","CPV",2015,NA,32,3,4
"166","Cambodia","KHM",2010,57.18332,NA,NA,NA
"167","Cambodia","KHM",2011,56.46159,NA,NA,NA
"168","Cambodia","KHM",2012,55.73986,NA,NA,NA
"169","Cambodia","KHM",2013,55.01813,NA,NA,NA
"170","Cambodia","KHM",2015,NA,44,36,36
"171","Cameroon","CMR",2010,42.13154,NA,NA,NA
"172","Cameroon","CMR",2011,41.66614,NA,NA,NA
"173","Cameroon","CMR",2012,41.20074,NA,NA,NA
"174","Cameroon","CMR",2013,40.73533,NA,NA,NA
"175","Cameroon","CMR",2015,NA,119,490,43
"176","Canada","CAN",2010,38.19229,NA,NA,NA
"177","Canada","CAN",2011,38.18717,NA,NA,NA
"178","Canada","CAN",2012,38.18204,NA,NA,NA
"179","Canada","CAN",2013,38.17692,NA,NA,NA
"180","Canada","CAN",2015,NA,42,11,11
"181","Caribbean small states","CSS",2010,85.29885,NA,NA,NA
"182","Caribbean small states","CSS",2011,85.25461,NA,NA,NA
"183","Caribbean small states","CSS",2012,85.21037,NA,NA,NA
"184","Caribbean small states","CSS",2013,85.16616,NA,NA,NA
"185","Caribbean small states","CSS",2015,NA,414,343,60
"186","Cayman Islands","CYM",2010,52.91667,NA,NA,NA
"187","Cayman Islands","CYM",2011,52.91667,NA,NA,NA
"188","Cayman Islands","CYM",2012,52.91667,NA,NA,NA
"189","Cayman Islands","CYM",2013,52.91667,NA,NA,NA
"190","Cayman Islands","CYM",2015,NA,32,22,1
"191","Central African Republic","CAF",2010,35.71222,NA,NA,NA
"192","Central African Republic","CAF",2011,35.68718,NA,NA,NA
"193","Central African Republic","CAF",2012,35.66214,NA,NA,NA
"194","Central African Republic","CAF",2013,35.6371,NA,NA,NA
"195","Central African Republic","CAF",2015,NA,3,24,13
"196","Central Europe and the Baltics","CEB",2010,33.6438,NA,NA,NA
"197","Central Europe and the Baltics","CEB",2011,33.74897,NA,NA,NA
"198","Central Europe and the Baltics","CEB",2012,33.86075,NA,NA,NA
"199","Central Europe and the Baltics","CEB",2013,33.96639,NA,NA,NA
"200","Central Europe and the Baltics","CEB",2015,NA,181,86,42
"201","Chad","TCD",2010,4.374206,NA,NA,NA
"202","Chad","TCD",2011,4.273666,NA,NA,NA
"203","Chad","TCD",2012,4.173126,NA,NA,NA
"204","Chad","TCD",2013,4.072586,NA,NA,NA
"205","Chad","TCD",2015,NA,1,6,14
"206","Channel Islands","CHI",2010,4.210526,NA,NA,NA
"207","Channel Islands","CHI",2011,4.210526,NA,NA,NA
"208","Channel Islands","CHI",2012,4.210526,NA,NA,NA
"209","Channel Islands","CHI",2013,4.210526,NA,NA,NA
"210","Chile","CHL",2010,21.82959,NA,NA,NA
"211","Chile","CHL",2011,22.23415,NA,NA,NA
"212","Chile","CHL",2012,22.6387,NA,NA,NA
"213","Chile","CHL",2013,23.04326,NA,NA,NA
"214","Chile","CHL",2015,NA,23,72,20
"215","China","CHN",2010,21.36832,NA,NA,NA
"216","China","CHN",2011,21.53259,NA,NA,NA
"217","China","CHN",2012,21.69686,NA,NA,NA
"218","China","CHN",2013,21.86113,NA,NA,NA
"219","China","CHN",2015,NA,131,568,74
"220","Colombia","COL",2010,52.84842,NA,NA,NA
"221","Colombia","COL",2011,52.82434,NA,NA,NA
"222","Colombia","COL",2012,52.80026,NA,NA,NA
"223","Colombia","COL",2013,52.77618,NA,NA,NA
"224","Colombia","COL",2015,NA,61,245,56
"225","Comoros","COM",2010,20.95648,NA,NA,NA
"226","Comoros","COM",2011,20.74154,NA,NA,NA
"227","Comoros","COM",2012,20.5266,NA,NA,NA
"228","Comoros","COM",2013,20.31166,NA,NA,NA
"229","Comoros","COM",2015,NA,8,7,5
"230","Congo, Dem. Rep.","ZAR",2010,67.98924,NA,NA,NA
"231","Congo, Dem. Rep.","ZAR",2011,67.85188,NA,NA,NA
"232","Congo, Dem. Rep.","ZAR",2012,67.71452,NA,NA,NA
"233","Congo, Dem. Rep.","ZAR",2013,67.57716,NA,NA,NA
"234","Congo, Dem. Rep.","ZAR",2015,NA,93,113,35
"235","Congo, Rep.","COG",2010,65.62518,NA,NA,NA
"236","Congo, Rep.","COG",2011,65.58009,NA,NA,NA
"237","Congo, Rep.","COG",2012,65.53499,NA,NA,NA
"238","Congo, Rep.","COG",2013,65.4899,NA,NA,NA
"239","Congo, Rep.","COG",2015,NA,55,45,16
"240","Costa Rica","CRI",2010,51.01841,NA,NA,NA
"241","Costa Rica","CRI",2011,51.60987,NA,NA,NA
"242","Costa Rica","CRI",2012,52.20133,NA,NA,NA
"243","Costa Rica","CRI",2013,52.79279,NA,NA,NA
"244","Costa Rica","CRI",2015,NA,57,132,10
"245","Cote d'Ivoire","CIV",2010,32.71384,NA,NA,NA
"246","Cote d'Ivoire","CIV",2011,32.71258,NA,NA,NA
"247","Cote d'Ivoire","CIV",2012,32.71132,NA,NA,NA
"248","Cote d'Ivoire","CIV",2013,32.71006,NA,NA,NA
"249","Cote d'Ivoire","CIV",2015,NA,56,108,29
"250","Croatia","HRV",2010,34.31022,NA,NA,NA
"251","Croatia","HRV",2011,34.31737,NA,NA,NA
"252","Croatia","HRV",2012,34.32452,NA,NA,NA
"253","Croatia","HRV",2013,34.33167,NA,NA,NA
"254","Croatia","HRV",2015,NA,63,9,8
"255","Cuba","CUB",2010,27.54604,NA,NA,NA
"256","Cuba","CUB",2011,28.04961,NA,NA,NA
"257","Cuba","CUB",2012,28.55076,NA,NA,NA
"258","Cuba","CUB",2013,29.05429,NA,NA,NA
"259","Cuba","CUB",2015,NA,44,177,12
"260","Curacao","CUW",2015,NA,28,2,3
"261","Cyprus","CYP",2010,18.70563,NA,NA,NA
"262","Cyprus","CYP",2011,18.70238,NA,NA,NA
"263","Cyprus","CYP",2012,18.69913,NA,NA,NA
"264","Cyprus","CYP",2013,18.69697,NA,NA,NA
"265","Cyprus","CYP",2015,NA,24,18,5
"266","Czech Republic","CZE",2010,34.39927,NA,NA,NA
"267","Czech Republic","CZE",2011,34.42517,NA,NA,NA
"268","Czech Republic","CZE",2012,34.45552,NA,NA,NA
"269","Czech Republic","CZE",2013,34.48142,NA,NA,NA
"270","Czech Republic","CZE",2015,NA,2,15,2
"271","Denmark","DNK",2010,13.83691,NA,NA,NA
"272","Denmark","DNK",2011,13.95522,NA,NA,NA
"273","Denmark","DNK",2012,14.07353,NA,NA,NA
"274","Denmark","DNK",2013,14.19185,NA,NA,NA
"275","Denmark","DNK",2015,NA,18,4,2
"276","Djibouti","DJI",2010,0.2415876,NA,NA,NA
"277","Djibouti","DJI",2011,0.2415876,NA,NA,NA
"278","Djibouti","DJI",2012,0.2415876,NA,NA,NA
"279","Djibouti","DJI",2013,0.2415876,NA,NA,NA
"280","Djibouti","DJI",2015,NA,18,3,6
"281","Dominica","DMA",2010,59.54667,NA,NA,NA
"282","Dominica","DMA",2011,59.18667,NA,NA,NA
"283","Dominica","DMA",2012,58.84,NA,NA,NA
"284","Dominica","DMA",2013,58.48,NA,NA,NA
"285","Dominica","DMA",2015,NA,29,11,3
"286","Dominican Republic","DOM",2010,37.60348,NA,NA,NA
"287","Dominican Republic","DOM",2011,38.29056,NA,NA,NA
"288","Dominican Republic","DOM",2012,38.97765,NA,NA,NA
"289","Dominican Republic","DOM",2013,39.66474,NA,NA,NA
"290","Dominican Republic","DOM",2015,NA,29,42,6
"291","East Asia & Pacific (all income levels)","EAS",2010,26.16199,NA,NA,NA
"292","East Asia & Pacific (all income levels)","EAS",2011,26.1967,NA,NA,NA
"293","East Asia & Pacific (all income levels)","EAS",2012,26.23147,NA,NA,NA
"294","East Asia & Pacific (all income levels)","EAS",2013,26.26617,NA,NA,NA
"295","East Asia & Pacific (all income levels)","EAS",2015,NA,1430,3453,891
"296","East Asia & Pacific (developing only)","EAP",2010,29.60012,NA,NA,NA
"297","East Asia & Pacific (developing only)","EAP",2011,29.63446,NA,NA,NA
"298","East Asia & Pacific (developing only)","EAP",2012,29.66911,NA,NA,NA
"299","East Asia & Pacific (developing only)","EAP",2013,29.70364,NA,NA,NA
"300","East Asia & Pacific (developing only)","EAP",2015,NA,986,2708,716
"301","Ecuador","ECU",2010,52.10807,NA,NA,NA
"302","Ecuador","ECU",2011,51.79103,NA,NA,NA
"303","Ecuador","ECU",2012,51.47399,NA,NA,NA
"304","Ecuador","ECU",2013,51.15699,NA,NA,NA
"305","Ecuador","ECU",2015,NA,53,1848,46
"306","Egypt, Arab Rep.","EGY",2010,0.07031996,NA,NA,NA
"307","Egypt, Arab Rep.","EGY",2011,0.0709227,NA,NA,NA
"308","Egypt, Arab Rep.","EGY",2012,0.07152544,NA,NA,NA
"309","Egypt, Arab Rep.","EGY",2013,0.07212818,NA,NA,NA
"310","Egypt, Arab Rep.","EGY",2015,NA,47,3,17
"311","El Salvador","SLV",2010,13.85135,NA,NA,NA
"312","El Salvador","SLV",2011,13.639,NA,NA,NA
"313","El Salvador","SLV",2012,13.42664,NA,NA,NA
"314","El Salvador","SLV",2013,13.21429,NA,NA,NA
"315","El Salvador","SLV",2015,NA,15,29,7
"316","Equatorial Guinea","GNQ",2010,57.96791,NA,NA,NA
"317","Equatorial Guinea","GNQ",2011,57.55437,NA,NA,NA
"318","Equatorial Guinea","GNQ",2012,57.14082,NA,NA,NA
"319","Equatorial Guinea","GNQ",2013,56.72727,NA,NA,NA
"320","Equatorial Guinea","GNQ",2015,NA,42,84,23
"321","Eritrea","ERI",2010,15.16832,NA,NA,NA
"322","Eritrea","ERI",2011,15.12475,NA,NA,NA
"323","Eritrea","ERI",2012,15.08119,NA,NA,NA
"324","Eritrea","ERI",2013,15.03762,NA,NA,NA
"325","Eritrea","ERI",2015,NA,21,4,10
"326","Estonia","EST",2010,52.70111,NA,NA,NA
"327","Estonia","EST",2011,52.69167,NA,NA,NA
"328","Estonia","EST",2012,52.68224,NA,NA,NA
"329","Estonia","EST",2013,52.6728,NA,NA,NA
"330","Estonia","EST",2015,NA,5,2,1
"331","Ethiopia","ETH",2010,12.296,NA,NA,NA
"332","Ethiopia","ETH",2011,12.3366,NA,NA,NA
"333","Ethiopia","ETH",2012,12.3772,NA,NA,NA
"334","Ethiopia","ETH",2013,12.4178,NA,NA,NA
"335","Ethiopia","ETH",2015,NA,14,41,33
"336","Euro area","EMU",2010,37.83382,NA,NA,NA
"337","Euro area","EMU",2011,37.92367,NA,NA,NA
"338","Euro area","EMU",2012,38.00658,NA,NA,NA
"339","Euro area","EMU",2013,38.09404,NA,NA,NA
"340","Euro area","EMU",2015,NA,520,583,90
"341","Europe & Central Asia (all income levels)","ECS",2010,37.94388,NA,NA,NA
"342","Europe & Central Asia (all income levels)","ECS",2011,37.962,NA,NA,NA
"343","Europe & Central Asia (all income levels)","ECS",2012,37.98393,NA,NA,NA
"344","Europe & Central Asia (all income levels)","ECS",2013,38.0019,NA,NA,NA
"345","Europe & Central Asia (all income levels)","ECS",2015,NA,1200,1136,307
"346","Europe & Central Asia (developing only)","ECA",2010,10.16487,NA,NA,NA
"347","Europe & Central Asia (developing only)","ECA",2011,10.20366,NA,NA,NA
"348","Europe & Central Asia (developing only)","ECA",2012,10.2429,NA,NA,NA
"349","Europe & Central Asia (developing only)","ECA",2013,10.28186,NA,NA,NA
"350","Europe & Central Asia (developing only)","ECA",2015,NA,414,383,135
"351","European Union","EUU",2010,37.54539,NA,NA,NA
"352","European Union","EUU",2011,37.6337,NA,NA,NA
"353","European Union","EUU",2012,37.74649,NA,NA,NA
"354","European Union","EUU",2013,37.83399,NA,NA,NA
"355","European Union","EUU",2015,NA,726,683,128
"356","Faeroe Islands","FRO",2010,0.05730659,NA,NA,NA
"357","Faeroe Islands","FRO",2011,0.05730659,NA,NA,NA
"358","Faeroe Islands","FRO",2012,0.05730659,NA,NA,NA
"359","Faeroe Islands","FRO",2013,0.05730659,NA,NA,NA
"360","Faeroe Islands","FRO",2015,NA,12,1,4
"361","Fiji","FJI",2010,54.34592,NA,NA,NA
"362","Fiji","FJI",2011,54.61193,NA,NA,NA
"363","Fiji","FJI",2012,54.87794,NA,NA,NA
"364","Fiji","FJI",2013,55.14395,NA,NA,NA
"365","Fiji","FJI",2015,NA,14,65,6
"366","Finland","FIN",2010,73.10958,NA,NA,NA
"367","Finland","FIN",2011,73.11198,NA,NA,NA
"368","Finland","FIN",2012,73.11198,NA,NA,NA
"369","Finland","FIN",2013,73.11198,NA,NA,NA
"370","Finland","FIN",2015,NA,6,8,1
"371","Fragile and conflict affected situations","FCS",2010,21.66092,NA,NA,NA
"372","Fragile and conflict affected situations","FCS",2011,21.04742,NA,NA,NA
"373","Fragile and conflict affected situations","FCS",2012,20.93156,NA,NA,NA
"374","Fragile and conflict affected situations","FCS",2013,20.8156,NA,NA,NA
"375","Fragile and conflict affected situations","FCS",2015,NA,918,1350,530
"376","France","FRA",2010,29.99505,NA,NA,NA
"377","France","FRA",2011,30.20142,NA,NA,NA
"378","France","FRA",2012,30.40757,NA,NA,NA
"379","France","FRA",2013,30.61416,NA,NA,NA
"380","France","FRA",2015,NA,52,41,8
"381","French Polynesia","PYF",2010,42.34973,NA,NA,NA
"382","French Polynesia","PYF",2011,42.34973,NA,NA,NA
"383","French Polynesia","PYF",2012,42.34973,NA,NA,NA
"384","French Polynesia","PYF",2013,42.34973,NA,NA,NA
"385","French Polynesia","PYF",2015,NA,28,47,0
"386","Gabon","GAB",2010,85.38053,NA,NA,NA
"387","Gabon","GAB",2011,86.15671,NA,NA,NA
"388","Gabon","GAB",2012,86.9329,NA,NA,NA
"389","Gabon","GAB",2013,87.70909,NA,NA,NA
"390","Gabon","GAB",2015,NA,71,154,19
"391","Gambia, The","GMB",2010,47.43083,NA,NA,NA
"392","Gambia, The","GMB",2011,47.58893,NA,NA,NA
"393","Gambia, The","GMB",2012,47.74704,NA,NA,NA
"394","Gambia, The","GMB",2013,47.90514,NA,NA,NA
"395","Gambia, The","GMB",2015,NA,34,5,9
"396","Georgia","GEO",2010,40.61592,NA,NA,NA
"397","Georgia","GEO",2011,40.61592,NA,NA,NA
"398","Georgia","GEO",2012,40.61592,NA,NA,NA
"399","Georgia","GEO",2013,40.61592,NA,NA,NA
"400","Georgia","GEO",2015,NA,11,61,8
"401","Germany","DEU",2010,32.73087,NA,NA,NA
"402","Germany","DEU",2011,32.73755,NA,NA,NA
"403","Germany","DEU",2012,32.74517,NA,NA,NA
"404","Germany","DEU",2013,32.7509,NA,NA,NA
"405","Germany","DEU",2015,NA,24,24,4
"406","Ghana","GHA",2010,40.41048,NA,NA,NA
"407","Ghana","GHA",2011,40.53529,NA,NA,NA
"408","Ghana","GHA",2012,40.6601,NA,NA,NA
"409","Ghana","GHA",2013,40.78492,NA,NA,NA
"410","Ghana","GHA",2015,NA,56,119,20
"411","Greece","GRC",2010,30.27929,NA,NA,NA
"412","Greece","GRC",2011,30.51358,NA,NA,NA
"413","Greece","GRC",2012,30.74787,NA,NA,NA
"414","Greece","GRC",2013,30.98216,NA,NA,NA
"415","Greece","GRC",2015,NA,80,59,10
"416","Greenland","GRL",2010,0.0005359971,NA,NA,NA
"417","Greenland","GRL",2011,0.0005359971,NA,NA,NA
"418","Greenland","GRL",2012,0.0005359971,NA,NA,NA
"419","Greenland","GRL",2013,0.0005359971,NA,NA,NA
"420","Greenland","GRL",2015,NA,9,1,7
"421","Grenada","GRD",2010,49.97059,NA,NA,NA
"422","Grenada","GRD",2011,49.97059,NA,NA,NA
"423","Grenada","GRD",2012,49.97059,NA,NA,NA
"424","Grenada","GRD",2013,49.97059,NA,NA,NA
"425","Grenada","GRD",2015,NA,28,3,3
"426","Guam","GUM",2010,46.2963,NA,NA,NA
"427","Guam","GUM",2011,46.2963,NA,NA,NA
"428","Guam","GUM",2012,46.2963,NA,NA,NA
"429","Guam","GUM",2013,46.2963,NA,NA,NA
"430","Guam","GUM",2015,NA,11,4,2
"431","Guatemala","GTM",2010,34.73311,NA,NA,NA
"432","Guatemala","GTM",2011,34.39343,NA,NA,NA
"433","Guatemala","GTM",2012,34.05375,NA,NA,NA
"434","Guatemala","GTM",2013,33.71407,NA,NA,NA
"435","Guatemala","GTM",2015,NA,34,98,17
"436","Guinea","GIN",2010,26.63194,NA,NA,NA
"437","Guinea","GIN",2011,26.48543,NA,NA,NA
"438","Guinea","GIN",2012,26.33892,NA,NA,NA
"439","Guinea","GIN",2013,26.19241,NA,NA,NA
"440","Guinea","GIN",2015,NA,75,35,25
"441","Guinea-Bissau","GNB",2010,71.90612,NA,NA,NA
"442","Guinea-Bissau","GNB",2011,71.5505,NA,NA,NA
"443","Guinea-Bissau","GNB",2012,71.19488,NA,NA,NA
"444","Guinea-Bissau","GNB",2013,70.83926,NA,NA,NA
"445","Guinea-Bissau","GNB",2015,NA,39,5,14
"446","Guyana","GUY",2010,84.20625,NA,NA,NA
"447","Guyana","GUY",2011,84.15545,NA,NA,NA
"448","Guyana","GUY",2012,84.10465,NA,NA,NA
"449","Guyana","GUY",2013,84.05385,NA,NA,NA
"450","Guyana","GUY",2015,NA,31,23,11
"451","Haiti","HTI",2010,3.664731,NA,NA,NA
"452","Haiti","HTI",2011,3.635704,NA,NA,NA
"453","Haiti","HTI",2012,3.606676,NA,NA,NA
"454","Haiti","HTI",2013,3.577649,NA,NA,NA
"455","Haiti","HTI",2015,NA,30,42,5
"456","Heavily indebted poor countries (HIPC)","HPC",2010,28.92975,NA,NA,NA
"457","Heavily indebted poor countries (HIPC)","HPC",2011,28.44183,NA,NA,NA
"458","Heavily indebted poor countries (HIPC)","HPC",2012,28.31658,NA,NA,NA
"459","Heavily indebted poor countries (HIPC)","HPC",2013,28.19132,NA,NA,NA
"460","Heavily indebted poor countries (HIPC)","HPC",2015,NA,1622,2938,744
"461","High income","HIC",2010,34.47088,NA,NA,NA
"462","High income","HIC",2011,34.48257,NA,NA,NA
"463","High income","HIC",2012,34.49574,NA,NA,NA
"464","High income","HIC",2013,34.50724,NA,NA,NA
"465","High income","HIC",2015,NA,2311,2424,613
