"","CountryName","CountryCode","Year","EG.ELC.ACCS.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.FO.ZS","EG.USE.ELEC.KH.PC"
"72","Bosnia and Herzegovina","BIH",2010,99.7,19.56271,91.60415,3048.817
"73","Bosnia and Herzegovina","BIH",2011,NA,14.16252,93.94578,3194.418
"74","Bosnia and Herzegovina","BIH",2012,100,15.27436,91.93027,3276.026
"75","Botswana","BWA",2010,43.1,24.10492,66.32928,1554.816
"76","Botswana","BWA",2011,NA,24.54278,64.74769,1523.181
"77","Botswana","BWA",2012,53.24,23.85167,64.10677,1513.488
"78","Brazil","BRA",2010,98,47.00809,53.48536,2339.445
"79","Brazil","BRA",2011,NA,45.47028,54.56669,2394.398
"80","Brazil","BRA",2012,99.5,43.62651,56.54643,2462.219
"81","Brunei Darussalam","BRN",2010,72.6,NA,NA,8705.778
"82","Brunei Darussalam","BRN",2011,NA,0.01583071,99.99564,8657.055
"83","Brunei Darussalam","BRN",2012,76.16138,0.0147908,99.99557,9092.209
"84","Bulgaria","BGR",2010,100,14.36811,73.20208,4560.415
"85","Bulgaria","BGR",2011,NA,13.27556,75.02093,4863.691
"86","Bulgaria","BGR",2012,100,15.75074,72.1611,4761.913
"87","Burkina Faso","BFA",2010,13.1,83.68521,NA,NA
"88","Burkina Faso","BFA",2011,NA,80.01006,NA,NA
"89","Burkina Faso","BFA",2012,13.1,NA,NA,NA
"90","Burundi","BDI",2010,5.3,96.85598,NA,NA
"91","Burundi","BDI",2011,NA,96.64632,NA,NA
"92","Burundi","BDI",2012,6.5,NA,NA,NA
"93","Cabo Verde","CPV",2010,67,27.62355,NA,NA
"94","Cabo Verde","CPV",2011,NA,21.20173,NA,NA
"95","Cabo Verde","CPV",2012,70.56256,NA,NA,NA
"96","Cambodia","KHM",2010,31.1,73.3051,25.60021,143.7663
"97","Cambodia","KHM",2011,NA,72.25213,26.22424,164.5298
"98","Cambodia","KHM",2012,31.1,72.63119,25.23922,206.5094
"99","Cameroon","CMR",2010,49,78.60424,31.16396,258.3209
"100","Cameroon","CMR",2011,NA,78.44118,27.56954,259.5285
"101","Cameroon","CMR",2012,53.7,78.11014,27.92653,262.3331
"102","Canada","CAN",2010,100,20.6561,74.3885,15965.17
"103","Canada","CAN",2011,NA,20.69118,73.53122,16167.71
"104","Canada","CAN",2012,100,20.59872,73.39549,15614.61
"105","Canada","CAN",2013,NA,NA,72.34744,NA
"106","Caribbean small states","CSS",2010,92.38233,8.468958,97.89905,NA
"107","Caribbean small states","CSS",2011,NA,9.461186,97.72864,NA
"108","Caribbean small states","CSS",2012,93.45616,5.239438,97.66925,NA
"109","Cayman Islands","CYM",2010,87.87328,NA,NA,NA
"110","Cayman Islands","CYM",2012,90.87544,NA,NA,NA
"111","Central African Republic","CAF",2010,9.5,79.81061,NA,NA
"112","Central African Republic","CAF",2011,NA,78.37461,NA,NA
"113","Central African Republic","CAF",2012,10.8,NA,NA,NA
"114","Chad","TCD",2010,3.5,90.79991,NA,NA
"115","Chad","TCD",2011,NA,90.60724,NA,NA
"116","Chad","TCD",2012,6.4,NA,NA,NA
"117","Channel Islands","CHI",2010,100,NA,NA,NA
"118","Channel Islands","CHI",2012,100,NA,NA,NA
"119","Chile","CHL",2010,99,26.9674,77.6183,3316.182
"120","Chile","CHL",2011,NA,28.72209,76.70942,3590.309
"121","Chile","CHL",2012,99.6,30.27261,70.0295,3810.118
"122","Chile","CHL",2013,NA,NA,70.46828,NA
"123","China","CHN",2010,99.7,19.07913,87.77236,2943.612
"124","China","CHN",2011,NA,18.01648,88.41866,3298.024
"125","China","CHN",2012,100,18.36255,88.2347,3475.009
"126","Colombia","COL",2010,96.7,27.93153,76.9531,1077.984
"127","Colombia","COL",2011,NA,26.41774,75.71844,1121.396
"128","Colombia","COL",2012,97,26.27444,75.58451,1149.954
"129","Comoros","COM",2010,51.5,50.20379,NA,NA
"130","Comoros","COM",2011,NA,46.84945,NA,NA
"131","Comoros","COM",2012,69.3,NA,NA,NA
"132","Congo, Dem. Rep.","ZAR",2010,15.2,96.84401,3.208889,102.4739
"133","Congo, Dem. Rep.","ZAR",2011,NA,96.26167,3.828573,105.908
"134","Congo, Dem. Rep.","ZAR",2012,16.4,95.9569,4.125814,104.8923
"135","Congo, Rep.","COG",2010,37.1,50.14364,45.21893,147.5623
"136","Congo, Rep.","COG",2011,NA,49.54463,48.33339,173.5515
"137","Congo, Rep.","COG",2012,41.6,48.18631,47.9239,181.7466
"138","Costa Rica","CRI",2010,98,42.31267,47.51502,1901.536
"139","Costa Rica","CRI",2011,NA,40.50231,48.26392,1898.929
"140","Costa Rica","CRI",2012,99.5,38.62403,47.82845,1957.179
"141","Cote d'Ivoire","CIV",2010,58.9,75.42421,22.78301,219.3058
"142","Cote d'Ivoire","CIV",2011,NA,79.31485,20.56624,200.9787
"143","Cote d'Ivoire","CIV",2012,55.8,74.3989,24.53101,239.733
"144","Croatia","HRV",2010,100,19.43071,81.92892,3813.679
"145","Croatia","HRV",2011,NA,17.21733,81.59532,3900.601
"146","Croatia","HRV",2012,100,19.96813,79.17608,3819.28
"147","Cuba","CUB",2010,100,17.30187,88.77548,1293.671
"148","Cuba","CUB",2011,NA,19.52786,86.74458,1322.286
"149","Cuba","CUB",2012,100,18.87409,86.51515,1367.672
"150","Curacao","CUW",2010,87.87328,NA,NA,NA
"151","Curacao","CUW",2012,90.87544,NA,NA,NA
"152","Cyprus","CYP",2010,100,6.353223,95.39065,4622.696
"153","Cyprus","CYP",2011,NA,7.415747,94.89409,4270.833
"154","Cyprus","CYP",2012,100,8.361861,94.18067,4055.599
"155","Czech Republic","CZE",2010,100,9.492428,79.67529,6348.424
"156","Czech Republic","CZE",2011,NA,10.23693,78.7175,6298.728
"157","Czech Republic","CZE",2012,100,10.92614,76.74859,6304.572
"158","Czech Republic","CZE",2013,NA,NA,74.93468,NA
"159","Denmark","DNK",2010,100,21.28446,78.27422,6327.506
"160","Denmark","DNK",2011,NA,23.95231,74.79027,6167.948
"161","Denmark","DNK",2012,100,27.5636,70.63815,6038.552
"162","Denmark","DNK",2013,NA,NA,71.67723,NA
"163","Djibouti","DJI",2010,49.7,34.43334,NA,NA
"164","Djibouti","DJI",2011,NA,34.44419,NA,NA
"165","Djibouti","DJI",2012,53.26256,NA,NA,NA
"166","Dominica","DMA",2010,91.83897,8.88422,NA,NA
"167","Dominica","DMA",2011,NA,11.55085,NA,NA
"168","Dominica","DMA",2012,92.66676,NA,NA,NA
"169","Dominican Republic","DOM",2010,98,13.3084,89.52042,1366.036
"170","Dominican Republic","DOM",2011,NA,13.20163,89.66665,1397.308
"171","Dominican Republic","DOM",2012,98,13.19235,89.43299,1472.57
"172","Ecuador","ECU",2010,97,11.9293,89.5795,1146.592
"173","Ecuador","ECU",2011,NA,13.22002,88.2758,1218.532
"174","Ecuador","ECU",2012,97.2,13.37341,88.31464,1281.56
"175","Egypt, Arab Rep.","EGY",2010,99.6,5.670957,96.31082,1589.876
"176","Egypt, Arab Rep.","EGY",2011,NA,5.518388,96.46974,1700.74
"177","Egypt, Arab Rep.","EGY",2012,100,5.499426,96.37166,1700.449
"178","El Salvador","SLV",2010,92,34.12739,46.02948,877.7296
"179","El Salvador","SLV",2011,NA,34.01886,47.38177,857.1134
"180","El Salvador","SLV",2012,93.7,34.01161,47.31948,881.2244
"181","Equatorial Guinea","GNQ",2010,65.1722,31.2768,NA,NA
"182","Equatorial Guinea","GNQ",2011,NA,29.81514,NA,NA
"183","Equatorial Guinea","GNQ",2012,66,NA,NA,NA
"184","Eritrea","ERI",2010,32.5,81.24658,21.97013,57.99989
"185","Eritrea","ERI",2011,NA,80.78037,21.6827,60.33947
"186","Eritrea","ERI",2012,36.0768,80.4219,22.12838,62.34372
"187","Estonia","EST",2010,100,25.12988,20.57486,6506.318
"188","Estonia","EST",2011,NA,24.98354,18.87798,6314.414
"189","Estonia","EST",2012,100,24.90855,19.55975,6689.368
"190","Estonia","EST",2013,NA,NA,17.34376,NA
"191","Ethiopia","ETH",2010,23,94.44462,4.817478,51.1867
"192","Ethiopia","ETH",2011,NA,93.98468,5.148112,55.96565
"193","Ethiopia","ETH",2012,26.56256,93.49062,5.517943,57.43498
"194","Faeroe Islands","FRO",2010,100,NA,NA,NA
"195","Faeroe Islands","FRO",2012,100,NA,NA,NA
"196","Fiji","FJI",2010,55.8,10.91091,NA,NA
"197","Fiji","FJI",2011,NA,12.22213,NA,NA
"198","Fiji","FJI",2012,59.32891,NA,NA,NA
"199","Finland","FIN",2010,100,33.51727,48.95682,16482.79
"200","Finland","FIN",2011,NA,35.12738,46.64618,15707.26
"201","Finland","FIN",2012,100,39.11588,42.0928,15687.19
"202","Finland","FIN",2013,NA,NA,42.90605,NA
"203","France","FRA",2010,100,12.18259,49.84914,7735.787
"204","France","FRA",2011,NA,11.30477,48.42696,7216.069
"205","France","FRA",2012,100,12.58879,48.7253,7343.878
"206","France","FRA",2013,NA,NA,48.23312,NA
"207","French Polynesia","PYF",2010,55.8,10.69221,NA,NA
"208","French Polynesia","PYF",2011,NA,9.377708,NA,NA
"209","French Polynesia","PYF",2012,59.32891,NA,NA,NA
"210","Gabon","GAB",2010,81.6,68.34019,40.71086,1032.468
"211","Gabon","GAB",2011,NA,68.25588,41.38277,1052.433
"212","Gabon","GAB",2012,89.3,69.57137,40.7264,1094.522
"213","Gambia, The","GMB",2010,31,45.08914,NA,NA
"214","Gambia, The","GMB",2011,NA,48.83429,NA,NA
"215","Gambia, The","GMB",2012,34.5268,NA,NA,NA
"216","Georgia","GEO",2010,100,40.12232,64.70334,1742.948
"217","Georgia","GEO",2011,NA,31.53766,72.76507,1917.985
"218","Georgia","GEO",2012,100,28.69262,74.46282,1934.665
"219","Germany","DEU",2010,100,10.60449,79.38259,7264.323
"220","Germany","DEU",2011,NA,11.57818,80.2619,7145.729
"221","Germany","DEU",2012,100,12.38408,80.4054,7270.153
"222","Germany","DEU",2013,NA,NA,80.90489,NA
"223","Ghana","GHA",2010,60.5,56.62737,39.38917,282.7566
"224","Ghana","GHA",2011,NA,53.49913,40.79426,320.9579
"225","Ghana","GHA",2012,64.06256,49.48752,43.64185,346.0227
"226","Greece","GRC",2010,100,11.12153,90.36635,5318.084
"227","Greece","GRC",2011,NA,11.12405,90.8282,5380.46
"228","Greece","GRC",2012,100,13.89544,90.10163,5511.067
"229","Greece","GRC",2013,NA,NA,87.83073,NA
"230","Greenland","GRL",2010,100,NA,NA,NA
"231","Greenland","GRL",2012,100,NA,NA,NA
"232","Grenada","GRD",2010,87.87328,9.348453,NA,NA
"233","Grenada","GRD",2011,NA,10.03014,NA,NA
"234","Grenada","GRD",2012,90.87544,NA,NA,NA
"235","Guam","GUM",2010,55.8,NA,NA,NA
"236","Guam","GUM",2012,59.32891,NA,NA,NA
"237","Guatemala","GTM",2010,78.3,66.58544,32.66036,538.2066
"238","Guatemala","GTM",2011,NA,66.41741,30.92107,530.9889
"239","Guatemala","GTM",2012,78.5,66.21956,30.87616,529.2555
"240","Guinea","GIN",2010,20.2,77.2285,NA,NA
"241","Guinea","GIN",2011,NA,76.32152,NA,NA
"242","Guinea","GIN",2012,26.2,NA,NA,NA
"243","Guinea-Bissau","GNB",2010,57,88.78239,NA,NA
"244","Guinea-Bissau","GNB",2011,NA,88.63361,NA,NA
"245","Guinea-Bissau","GNB",2012,60.60672,NA,NA,NA
"246","Guyana","GUY",2010,77,33.66386,NA,NA
"247","Guyana","GUY",2011,NA,36.10846,NA,NA
"248","Guyana","GUY",2012,79.46677,NA,NA,NA
"249","Haiti","HTI",2010,33.9,79.02484,17.77461,24.40093
"250","Haiti","HTI",2011,NA,79.00565,17.96056,31.14869
"251","Haiti","HTI",2012,37.9,83.09035,18.15744,49.85991
"252","Honduras","HND",2010,80,53.13429,51.18648,684.8462
"253","Honduras","HND",2011,NA,53.9132,51.29615,693.8345
"254","Honduras","HND",2012,82.2,53.38615,51.5903,697.7648
"255","Hong Kong SAR, China","HKG",2010,100,0.8349002,94.16223,5973.492
"256","Hong Kong SAR, China","HKG",2011,NA,1.065134,94.46198,5960.179
"257","Hong Kong SAR, China","HKG",2012,100,1.057314,93.32945,6026.193
"258","Hungary","HUN",2010,100,9.053426,74.26625,3876.491
"259","Hungary","HUN",2011,NA,9.642453,73.3366,3895.213
"260","Hungary","HUN",2012,100,10.1855,71.51699,3918.506
"261","Hungary","HUN",2013,NA,NA,69.49774,NA
"262","Iceland","ISL",2010,100,76.10117,17.50894,51439.91
"263","Iceland","ISL",2011,NA,77.26751,16.16663,52373.88
"264","Iceland","ISL",2012,100,78.13932,10.23082,53202.83
"265","Iceland","ISL",2013,NA,NA,10.95504,NA
"266","India","IND",2010,75,40.62553,72.73244,643.8798
"267","India","IND",2011,NA,39.85413,72.7531,698.4334
"268","India","IND",2012,78.7,38.99062,73.63742,743.7415
"269","Indonesia","IDN",2010,94.2,37.84016,66.68888,636.6873
"270","Indonesia","IDN",2011,NA,38.4508,65.42544,681.1208
"271","Indonesia","IDN",2012,96,37.06285,66.45908,729.8805
"272","Iran, Islamic Rep.","IRN",2010,98.4,0.8951948,99.45351,2642.372
"273","Iran, Islamic Rep.","IRN",2011,NA,0.9115694,99.42835,2661.911
"274","Iran, Islamic Rep.","IRN",2012,100,0.9294971,99.33342,2762.058
"275","Iraq","IRQ",2010,98,1.649293,97.43008,1190.806
"276","Iraq","IRQ",2011,NA,1.323948,97.47844,1340.702
"277","Iraq","IRQ",2012,100,1.586129,97.34038,1473.69
"278","Ireland","IRL",2010,100,5.259109,89.57965,5910.983
"279","Ireland","IRL",2011,NA,7.087414,87.62248,5661.168
"280","Ireland","IRL",2012,100,6.955113,86.3764,5664.832
"281","Ireland","IRL",2013,NA,NA,86.03422,NA
"282","Isle of Man","IMY",2010,100,NA,NA,NA
"283","Isle of Man","IMY",2012,100,NA,NA,NA
"284","Israel","ISR",2010,100,8.503356,96.35191,6953.277
"285","Israel","ISR",2011,NA,9.021752,96.48687,6930.001
"286","Israel","ISR",2012,100,8.678497,96.61953,7188.926
"287","Israel","ISR",2013,NA,NA,96.77099,NA
"288","Italy","ITA",2010,100,10.09366,86.52167,5493.728
"289","Italy","ITA",2011,NA,11.10023,85.07088,5514.837
"290","Italy","ITA",2012,100,12.09202,83.86882,5397.741
"291","Italy","ITA",2013,NA,NA,81.12049,NA
"292","Jamaica","JAM",2010,92,13.70562,82.7754,1270.243
"293","Jamaica","JAM",2011,NA,13.87527,82.60442,1261.187
"294","Jamaica","JAM",2012,92.63344,14.65607,82.19292,1198.018
"295","Japan","JPN",2010,100,4.497485,80.88359,8337.128
"296","Japan","JPN",2011,NA,4.626105,89.71884,7841.303
"297","Japan","JPN",2012,100,4.481487,94.55685,7752.489
"298","Japan","JPN",2013,NA,NA,94.74851,NA
"299","Jordan","JOR",2010,99.4,2.968062,97.34739,2216.341
"300","Jordan","JOR",2011,NA,3.021444,95.99185,2289.435
"301","Jordan","JOR",2012,99.5,3.066919,97.24132,2357.233
"302","Kazakhstan","KAZ",2010,100,1.382363,98.78505,4728.096
"303","Kazakhstan","KAZ",2011,NA,1.3819,98.93383,4892.913
"304","Kazakhstan","KAZ",2012,100,1.358261,98.89124,5084.976
"305","Kenya","KEN",2010,23,76.30922,19.71645,156.7385
"306","Kenya","KEN",2011,NA,77.12051,19.45912,157.2913
"307","Kenya","KEN",2012,23,78.53266,17.74154,159.6973
"308","Kiribati","KIR",2010,55.8,2.711357,NA,NA
"309","Kiribati","KIR",2011,NA,2.894789,NA,NA
"310","Kiribati","KIR",2012,59.32891,NA,NA,NA
"311","Korea, Dem. Rep.","PRK",2010,26,11.75006,88.26569,744.4744
"312","Korea, Dem. Rep.","PRK",2011,NA,15.87886,84.23831,657.1704
"313","Korea, Dem. Rep.","PRK",2012,29.56256,15.98309,84.11959,653.9906
"314","Korea, Rep.","KOR",2010,99.7,1.287782,82.88042,9744.393
"315","Korea, Rep.","KOR",2011,NA,1.32246,82.75536,10161.95
"316","Korea, Rep.","KOR",2012,100,1.598824,83.23183,10345.6
"317","Korea, Rep.","KOR",2013,NA,NA,84.10354,NA
"318","Kosovo","KSV",2010,100,20.94542,88.34098,2649.689
"319","Kosovo","KSV",2011,NA,19.74354,88.62152,2947.028
"320","Kosovo","KSV",2012,100,20.89006,88.59801,2862.841
"321","Kuwait","KWT",2010,94.1,NA,NA,16387.14
"322","Kuwait","KWT",2011,NA,NA,NA,15551.77
"323","Kuwait","KWT",2012,97.69783,NA,NA,15721.81
"324","Kyrgyz Republic","KGZ",2010,100,25.5948,70.51698,1371.721
"325","Kyrgyz Republic","KGZ",2011,NA,25.95074,70.1008,1649.258
"326","Kyrgyz Republic","KGZ",2012,100,22.47594,73.85465,1809.103
"327","Lao PDR","LAO",2010,66,87.47752,NA,NA
"328","Lao PDR","LAO",2011,NA,86.52792,NA,NA
"329","Lao PDR","LAO",2012,70,NA,NA,NA
"330","Latvia","LVA",2010,100,35.26775,63.91688,3229.951
"331","Latvia","LVA",2011,NA,35.53509,62.8939,3264.539
"332","Latvia","LVA",2012,100,40.36647,58.04189,3588.424
"333","Lebanon","LBN",2010,99.9,5.273733,94.976,3478.777
"334","Lebanon","LBN",2011,NA,5.231662,95.52014,3494.707
"335","Lebanon","LBN",2012,100,4.972385,96.37144,3102.419
"336","Lesotho","LSO",2010,17,4.12978,NA,NA
"337","Lesotho","LSO",2011,NA,4.236683,NA,NA
"338","Lesotho","LSO",2012,20.56256,NA,NA,NA
"339","Liberia","LBR",2010,4.1,90.63534,NA,NA
"340","Liberia","LBR",2011,NA,89.39248,NA,NA
"341","Liberia","LBR",2012,9.8,NA,NA,NA
"342","Libya","LBY",2010,100,1.60259,99.23665,4531.978
"343","Libya","LBY",2011,NA,2.256557,98.82277,3807.016
"344","Libya","LBY",2012,100,1.691688,99.00202,4706.844
"345","Liechtenstein","LIE",2010,100,NA,NA,NA
"346","Liechtenstein","LIE",2012,100,NA,NA,NA
"347","Lithuania","LTU",2010,100,21.69427,74.29024,3470.785
"348","Lithuania","LTU",2011,NA,23.09456,73.87595,3529.919
"349","Lithuania","LTU",2012,100,24.27537,72.89957,3607.704
"350","Luxembourg","LUX",2010,100,3.662086,87.94705,16829.96
"351","Luxembourg","LUX",2011,NA,3.719492,86.99973,15586.08
"352","Luxembourg","LUX",2012,100,4.142592,87.21263,14696.41
"353","Luxembourg","LUX",2013,NA,NA,84.77925,NA
"354","Macao SAR, China","MAC",2010,87.54047,0.4467869,NA,NA
"355","Macao SAR, China","MAC",2011,NA,0.1825749,NA,NA
"356","Macao SAR, China","MAC",2012,90.54264,NA,NA,NA
"357","Macedonia, FYR","MKD",2010,99,22.5936,81.14242,3588.463
"358","Macedonia, FYR","MKD",2011,NA,17.82264,82.02482,3895.177
"359","Macedonia, FYR","MKD",2012,100,16.46848,82.43753,3689.707
"360","Madagascar","MDG",2010,14.3,81.85477,NA,NA
"361","Madagascar","MDG",2011,NA,78.85373,NA,NA
"362","Madagascar","MDG",2012,15.4,NA,NA,NA
"363","Malawi","MWI",2010,8.7,78.64652,NA,NA
"364","Malawi","MWI",2011,NA,79.24446,NA,NA
"365","Malawi","MWI",2012,9.8,NA,NA,NA
"366","Malaysia","MYS",2010,99.3,6.043842,94.91399,4158.573
"367","Malaysia","MYS",2011,NA,6.544373,94.84559,4113.818
"368","Malaysia","MYS",2012,100,6.795786,94.7758,4345.471
"369","Maldives","MDV",2010,99.9,3.416971,NA,NA
"370","Maldives","MDV",2011,NA,3.239346,NA,NA
"371","Maldives","MDV",2012,100,NA,NA,NA
"372","Mali","MLI",2010,16.6,83.92455,NA,NA
"373","Mali","MLI",2011,NA,83.87281,NA,NA
"374","Mali","MLI",2012,25.6,NA,NA,NA
"375","Malta","MLT",2010,100,0.7237325,99.65462,4171.21
"376","Malta","MLT",2011,NA,0.9955321,99.54057,4689.287
"377","Malta","MLT",2012,100,2.60527,98.55895,4760.94
"378","Marshall Islands","MHL",2010,55.8,NA,NA,NA
"379","Marshall Islands","MHL",2012,59.32891,NA,NA,NA
"380","Mauritania","MRT",2010,18.2,33.99881,NA,NA
"381","Mauritania","MRT",2011,NA,33.28259,NA,NA
"382","Mauritania","MRT",2012,21.76256,NA,NA,NA
"383","Mauritius","MUS",2010,100,3.823921,81.6563,1995.361
"384","Mauritius","MUS",2011,NA,3.364859,82.43971,2025.704
"385","Mauritius","MUS",2012,100,NA,83.15324,2075.036
"386","Mexico","MEX",2010,99,9.950746,89.26572,1903.985
"387","Mexico","MEX",2011,NA,9.63167,89.19103,2074.244
"388","Mexico","MEX",2012,99.1,9.350894,90.1505,2011.715
"389","Mexico","MEX",2013,NA,NA,89.353,NA
"390","Micronesia, Fed. Sts.","FSM",2010,55.8,NA,NA,NA
"391","Micronesia, Fed. Sts.","FSM",2012,59.32891,NA,NA,NA
"392","Middle income","MIC",2010,85.47373,26.27173,80.34479,1587.105
"393","Middle income","MIC",2011,NA,25.46453,80.85721,1710.903
"394","Middle income","MIC",2012,87.4176,25.3468,81.01688,1778.521
"395","Moldova","MDA",2010,98.6,4.161364,93.15207,1722.887
"396","Moldova","MDA",2011,NA,4.384514,94.87987,1470.231
"397","Moldova","MDA",2012,100,4.666816,94.44865,1514.53
"398","Monaco","MCO",2010,100,NA,NA,NA
"399","Monaco","MCO",2012,100,NA,NA,NA
"400","Mongolia","MNG",2010,86.2,3.826545,95.14211,1492.633
"401","Mongolia","MNG",2011,NA,3.543979,95.36001,1495.429
"402","Mongolia","MNG",2012,89.76256,3.216696,95.50759,1597.386
"403","Montenegro","MNE",2010,100,54.52485,60.57509,5419.516
"404","Montenegro","MNE",2011,NA,43.18868,63.04412,5752.493
"405","Montenegro","MNE",2012,100,46.19548,61.18212,5415.718
"406","Morocco","MAR",2010,98.9,13.37637,87.92983,777.0712
"407","Morocco","MAR",2011,NA,11.79897,89.04408,818.5181
"408","Morocco","MAR",2012,100,11.33754,89.33379,875.1769
"409","Mozambique","MOZ",2010,15,89.91209,8.010442,438.5839
"410","Mozambique","MOZ",2011,NA,88.92934,9.108038,439.3027
"411","Mozambique","MOZ",2012,20.2,88.43719,8.362592,444.4111
"412","Myanmar","MMR",2010,48.8,84.95043,21.57526,121.5858
"413","Myanmar","MMR",2011,NA,84.51915,20.98269,151.0204
"414","Myanmar","MMR",2012,52.36256,78.72385,25.3797,152.6535
"415","Namibia","NAM",2010,43.7,32.779,65.9688,1532.155
"416","Namibia","NAM",2011,NA,33.4225,65.38231,1550.781
"417","Namibia","NAM",2012,47.26256,32.94026,65.6889,1590.56
"418","Nepal","NPL",2010,76.3,87.29245,12.59673,103.0663
"419","Nepal","NPL",2011,NA,86.94552,12.98666,115.235
"420","Nepal","NPL",2012,76.3,84.72027,15.17082,119.0887
"421","Netherlands","NLD",2010,100,3.560907,93.8351,7009.524
"422","Netherlands","NLD",2011,NA,4.363888,92.32067,7035.672
"423","Netherlands","NLD",2012,100,4.654838,91.50427,6871.099
"424","Netherlands","NLD",2013,NA,NA,91.76946,NA
"425","New Caledonia","NCL",2010,55.8,3.038817,NA,NA
"426","New Caledonia","NCL",2011,NA,4.005688,NA,NA
